COMPUTATIONAL INTELLIGENCE PROJECT REPORT
=========================================
Student: s347245
Parameters: Alpha=1.00, Beta=2.00, Density=0.20, Cities=1000
Execution Time: 571.8075 seconds
=========================================

PERFORMANCE COMPARISON
-------------------------
 - Baseline Cost:       37,545,927.7
 - Algorithm Cost:      26,178,730.7
 - Absolute Improvement: 11,367,197.0
 - % Improvement:       30.28%
 - Result:              IMPROVEMENT

CITY COVERAGE DETAIL:
City ID    | Available    | % Collected  | Visits  
218        | 929.7        | 100.0        | 6       
219        | 947.5        | 100.0        | 14      
220        | 315.4        | 100.0        | 1       
221        | 355.8        | 100.0        | 3       
222        | 453.0        | 100.0        | 1       
223        | 416.7        | 100.0        | 1       
224        | 190.9        | 100.0        | 1       
225        | 898.5        | 100.0        | 2       
226        | 254.1        | 100.0        | 1       
227        | 705.6        | 100.0        | 9       
228        | 68.1         | 100.0        | 1       
229        | 39.7         | 100.0        | 1       
230        | 654.1        | 100.0        | 3       
231        | 339.7        | 100.0        | 1       
232        | 655.8        | 100.0        | 3       
233        | 94.9         | 100.0        | 1       
234        | 949.9        | 100.0        | 2       
235        | 748.8        | 100.0        | 54      
236        | 876.4        | 100.0        | 6       
237        | 137.3        | 100.0        | 7       
238        | 320.8        | 100.0        | 3       
239        | 369.0        | 100.0        | 3       
240        | 537.6        | 100.0        | 1       
241        | 297.6        | 100.0        | 7       
242        | 61.6         | 100.0        | 1       
243        | 369.5        | 100.0        | 1       
244        | 255.3        | 100.0        | 1       
245        | 386.5        | 100.0        | 1       
246        | 197.8        | 100.0        | 17      
247        | 262.6        | 100.0        | 1       
248        | 627.3        | 100.0        | 1       
249        | 388.8        | 100.0        | 1       
250        | 346.0        | 100.0        | 1       
251        | 534.4        | 100.0        | 1       
252        | 772.1        | 100.0        | 2       
253        | 379.5        | 100.0        | 1       
254        | 587.9        | 100.0        | 1       
255        | 966.2        | 100.0        | 2       
256        | 522.5        | 100.0        | 5       
257        | 909.9        | 100.0        | 2       
258        | 793.9        | 100.0        | 12      
259        | 59.7         | 100.0        | 1       
260        | 429.7        | 100.0        | 1       
261        | 698.6        | 100.0        | 1       
262        | 986.7        | 100.0        | 2       
263        | 458.9        | 100.0        | 1       
264        | 93.7         | 100.0        | 5       
265        | 562.4        | 100.0        | 3       
266        | 127.4        | 100.0        | 5       
267        | 751.8        | 100.0        | 2       
268        | 508.2        | 100.0        | 7       
269        | 723.7        | 100.0        | 3       
270        | 869.5        | 100.0        | 2       
271        | 629.3        | 100.0        | 1       
272        | 612.8        | 100.0        | 1       
273        | 754.8        | 100.0        | 2       
274        | 842.6        | 100.0        | 2       
275        | 869.2        | 100.0        | 2       
276        | 37.4         | 100.0        | 1       
277        | 556.6        | 100.0        | 1       
278        | 217.1        | 100.0        | 1       
279        | 860.5        | 100.0        | 8       
280        | 648.7        | 100.0        | 1       
281        | 420.8        | 100.0        | 1       
282        | 188.9        | 100.0        | 7       
283        | 339.7        | 100.0        | 1       
284        | 704.1        | 100.0        | 9       
285        | 205.2        | 100.0        | 1       
286        | 94.5         | 100.0        | 9       
287        | 888.1        | 100.0        | 2       
288        | 764.4        | 100.0        | 2       
289        | 200.6        | 100.0        | 3       
290        | 293.0        | 100.0        | 163     
291        | 972.1        | 100.0        | 2       
292        | 708.5        | 100.0        | 1       
293        | 610.9        | 100.0        | 1       
294        | 308.3        | 100.0        | 1       
295        | 299.8        | 100.0        | 1       
296        | 40.5         | 100.0        | 1       
297        | 728.8        | 100.0        | 1       
298        | 44.1         | 100.0        | 7       
299        | 5.9          | 100.0        | 1       
300        | 729.8        | 100.0        | 1       
301        | 948.9        | 100.0        | 2       
302        | 756.7        | 100.0        | 2       
303        | 472.2        | 100.0        | 5       
304        | 486.6        | 100.0        | 1       
305        | 436.7        | 100.0        | 1       
306        | 325.3        | 100.0        | 1       
307        | 522.2        | 100.0        | 5       
308        | 431.7        | 100.0        | 11      
309        | 598.6        | 100.0        | 1       
310        | 898.2        | 100.0        | 12      
311        | 995.0        | 100.0        | 2       
312        | 79.7         | 100.0        | 1       
313        | 385.3        | 100.0        | 1       
314        | 181.5        | 100.0        | 1       
315        | 352.8        | 100.0        | 1       
316        | 288.2        | 100.0        | 1       
317        | 175.4        | 100.0        | 1       
318        | 764.3        | 100.0        | 2       
319        | 496.8        | 100.0        | 5       
320        | 919.3        | 100.0        | 4       
321        | 33.6         | 100.0        | 1       
322        | 67.9         | 100.0        | 1       
323        | 403.9        | 100.0        | 1       
324        | 81.2         | 100.0        | 1       
325        | 263.5        | 100.0        | 1       
326        | 986.0        | 100.0        | 2       
327        | 209.8        | 100.0        | 1       
328        | 198.9        | 100.0        | 1       
329        | 574.1        | 100.0        | 1       
330        | 498.5        | 100.0        | 1       
331        | 580.9        | 100.0        | 1       
332        | 377.4        | 100.0        | 1       
333        | 826.9        | 100.0        | 2       
334        | 139.4        | 100.0        | 5       
335        | 429.0        | 100.0        | 1       
336        | 690.1        | 100.0        | 1       
337        | 868.4        | 100.0        | 2       
338        | 370.2        | 100.0        | 1       
339        | 568.2        | 100.0        | 1       
340        | 70.1         | 100.0        | 1       
341        | 171.1        | 100.0        | 1       
342        | 70.1         | 100.0        | 1       
343        | 728.2        | 100.0        | 1       
344        | 288.8        | 100.0        | 3       
345        | 724.0        | 100.0        | 1       
346        | 67.3         | 100.0        | 3       
347        | 862.7        | 100.0        | 2       
348        | 835.7        | 100.0        | 2       
349        | 89.8         | 100.0        | 13      
350        | 24.7         | 100.0        | 1       
351        | 57.2         | 100.0        | 1       
352        | 853.8        | 100.0        | 4       
353        | 235.5        | 100.0        | 3       
354        | 548.7        | 100.0        | 45      
355        | 426.8        | 100.0        | 1       
356        | 795.7        | 100.0        | 2       
